,0
0,0.03
1,0.035
2,0.03
3,0.02
4,0.03
5,0.03
6,0.034999999999999996
7,0.03
8,0.035
9,0.035
10,0.055
11,0.049999999999999996
12,0.055
13,0.07
14,0.095
15,0.12
16,0.165
17,0.21500000000000002
18,0.245
19,0.32499999999999996
20,0.405
21,0.51
22,0.655
23,0.855
24,1.1400000000000001
25,1.54
26,2.1550000000000002
27,3.085
28,4.175
29,5.75
30,8.075
31,10.774999999999999
32,14.05
33,18.450000000000003
34,23.125
35,26.0
36,33.2
37,107.07499999999999
38,43.175
39,64.825
40,81.75
41,124.05000000000001
42,137.15
43,98.85
44,130.22500000000002
45,103.17500000000001
